Date;Closing price
2001-12-12;849.1
2001-12-13;831.64
2001-12-14;819.87
2001-12-17;832.64
2001-12-18;836.05
2001-12-19;820.67
2001-12-20;807.61
2001-12-21;824.57
2001-12-27;839.23
2001-12-28;846.49
2002-01-02;832.4
2002-01-03;867
2002-01-04;869.45
2002-01-07;864.56
2002-01-08;843.45
2002-01-09;842.07
2002-01-10;828.84
2002-01-11;838.23
2002-01-14;809.39
2002-01-15;800.16
2002-01-16;785.52
2002-01-17;797.87
2002-01-18;792.24
2002-01-21;784.45
2002-01-22;787.56
2002-01-23;789.91
2002-01-24;799.14
2002-01-25;789.55
2002-01-28;784.71
2002-01-29;768.18
2002-01-30;754.97
2002-01-31;782.02
2002-02-01;784.49
2002-02-04;785.11
2002-02-05;777.43
2002-02-06;769.89
2002-02-07;774.53
2002-02-08;771.5
2002-02-11;783.7
2002-02-12;784.66
2002-02-13;783.11
2002-02-14;781.75
2002-02-15;770.21
2002-02-18;759.64
2002-02-19;747.94
2002-02-20;747.6
2002-02-21;758.51
2002-02-22;751.33
2002-02-25;758.61
2002-02-26;765.46
2002-02-27;785.91
2002-02-28;783.64
2002-03-01;792.7
2002-03-04;823.35
2002-03-05;819.16
2002-03-06;814.42
2002-03-07;827.54
2002-03-08;833.47
2002-03-11;822.66
2002-03-12;811.25
2002-03-13;812.1
2002-03-14;803.09
2002-03-15;802.78
2002-03-18;804.98
2002-03-19;797.12
2002-03-20;789.26
2002-03-21;789.9
2002-03-22;810.58
2002-03-25;800.31
2002-03-26;790.86
2002-03-27;792.53
2002-03-28;798.61
2002-04-02;790.61
2002-04-03;784.38
2002-04-04;779.15
2002-04-05;783.84
2002-04-08;773.85
2002-04-09;772.28
2002-04-10;776.63
2002-04-11;763.99
2002-04-12;767.71
2002-04-15;773.56
2002-04-16;793.64
2002-04-17;796.76
2002-04-18;779.39
2002-04-19;770.3
2002-04-22;735.64
2002-04-23;730.78
2002-04-24;707.78
2002-04-25;702.65
2002-04-26;717.83
2002-04-29;710.42
2002-04-30;714.34
2002-05-01;714.34
2002-05-02;714.39
2002-05-03;695.84
2002-05-06;690.51
2002-05-07;698.24
2002-05-08;715.37
2002-05-10;701.64
2002-05-13;706.45
2002-05-14;714.48
2002-05-15;718.25
2002-05-16;708.59
2002-05-17;713.84
2002-05-21;703.41
2002-05-22;688.13
